Easting,Northing
491293,4879007
491282,4879011
491269,4879014
491263,4879014
491258,4879014
491252,4879013
491242,4879009
491232,4879006
491217,4879002
491198,4878996
491194,4878995
491186,4878993
491178,4878993
491171,4878994
491168,4878995
491159,4879003
491150,4879012
491134,4879033
491100,4879081
491079,4879102
491058,4879114
491042,4879119
491042,4879119
491042,4879139
491041,4879143
491034,4879166
491029,4879187
491024,4879204
491017,4879223
491010,4879241
491000,4879264
490987,4879285
490971,4879300
490962,4879306
490952,4879310
490934,4879312
490922,4879314
490885,4879326
490845,4879336
490838,4879341
490825,4879351
490806,4879369
490798,4879376
490793,4879384
490785,4879394
490771,4879415
490766,4879425
490753,4879459
490740,4879505
490737,4879522
490727,4879560
490712,4879610
490700,4879659
490689,4879702
490681,4879741
490677,4879768
490675,4879786
490674,4879810
490674,4879823
490675,4879842
490677,4879862
490678,4879867
490679,4879875
490680,4879881
490680,4879885
490679,4879893
490678,4879904
490679,4879945
490682,4879975
490684,4879993
490685,4880002
490686,4880014
490689,4880027
490691,4880041
490699,4880093
490703,4880107
490710,4880140
490713,4880153
490712,4880158
490711,4880165
490707,4880174
490705,4880181
490703,4880184
490697,4880188
490697,4880188
490701,4880223
490707,4880260
490743,4880316
490762,4880342
490773,4880359
490777,4880369
490782,4880386
490783,4880394
490780,4880429
490770,4880463
490767,4880505
490762,4880528
490756,4880547
490738,4880598
490723,4880635
490719,4880649
490707,4880680
490694,4880709
490675,4880756
490659,4880814
490658,4880830
490656,4880842
490649,4880865
490640,4880884
490631,4880897
490622,4880908
490617,4880916
490612,4880924
490604,4880944
490599,4880961
490585,4880988
490565,4881033
490561,4881041
490555,4881051
490550,4881058
490545,4881065
490543,4881069
490538,4881078
490536,4881084
490529,4881111
490527,4881119
490522,4881129
490516,4881141
490506,4881155
490502,4881162
490498,4881174
490497,4881185
490493,4881204
490490,4881210
490490,4881209
490482,4881229
490474,4881239
490466,4881253
490462,4881262
490458,4881274
490457,4881284
490457,4881294
490458,4881314
490458,4881355
490456,4881401
490450,4881485
490448,4881519
490448,4881538
490447,4881555
490444,4881563
490443,4881567
490439,4881575
490436,4881578
490430,4881583
490425,4881586
490419,4881588
490414,4881589
490407,4881591
490389,4881591
490373,4881589
490340,4881590
490334,4881590
490330,4881590
490328,4881591
490326,4881592
490324,4881598
490322,4881610
490322,4881610
490363,4881679
490363,4881679
489997,4881688
489997,4881688
489977,4881752
489974,4881763
489974,4881763
489965,4881792
489952,4881840
489930,4881911
489930,4881911
489778,4881912
489756,4881914
489687,4881915
489595,4881915
489517,4881916
489439,4881916
489357,4881916
489272,4881919
489266,4881919
489170,4881920
489090,4881921
489006,4881920
488928,4881922
488697,4881922
488460,4881922
488307,4881919
488292,4881919
488213,4881916
488181,4881915
488027,4881904
487944,4881901
487923,4881900
487898,4881900
487830,4881901
487821,4881901
487813,4881901
487804,4881901
487762,4881900
487642,4881901
487514,4881901
487352,4881900
487352,4881900
487353,4881964
487354,4881974
487353,4881983
487353,4881991
487353,4881998
487353,4882004
487351,4882012
487350,4882021
487346,4882029
487329,4882076
487252,4882276
487211,4882380
487190,4882432
487177,4882467
487173,4882486
487165,4882520
487137,4882652
487131,4882688
487117,4882745
487115,4882757
487113,4882767
487097,4882844
487002,4883295
486990,4883352
486990,4883352
486945,4883353
486797,4883353
486689,4883354
486597,4883357
486265,4883355
486258,4883355
486219,4883355
486219,4883355
486172,4883356
486151,4883357
486125,4883358
486096,4883356
486093,4883356
486082,4883357
486065,4883354
486052,4883353
486035,4883351
486023,4883350
486011,4883348
486002,4883347
485994,4883346
485976,4883342
485955,4883339
485933,4883333
485893,4883324
485885,4883321
485874,4883319
485853,4883315
485827,4883309
485811,4883306
485791,4883304
485778,4883302
485765,4883301
485758,4883299
485748,4883298
485736,4883297
485718,4883296
485690,4883295
485645,4883295
485554,4883295
485483,4883296
485442,4883296
484248,4883301
484184,4883301
484034,4883301
483924,4883303
483840,4883305
483742,4883309
483597,4883312
483403,4883318
483401,4883318
483325,4883321
483253,4883323
483213,4883324
483153,4883326
483116,4883329
483097,4883331
483080,4883335
483021,4883347
482959,4883364
482877,4883386
482803,4883406
482726,4883427
482703,4883432
482689,4883436
482671,4883439
482660,4883440
482645,4883441
482603,4883440
482557,4883442
482502,4883442
482425,4883441
482385,4883442
482358,4883442
482339,4883444
482322,4883448
482300,4883453
482281,4883459
482257,4883469
482241,4883478
482224,4883488
482209,4883499
482169,4883528
482143,4883548
482123,4883563
482109,4883572
482091,4883583
482080,4883586
482053,4883596
482015,4883607
481934,4883632
481862,4883653
481817,4883666
481803,4883669
481790,4883671
481770,4883675
481753,4883676
481735,4883678
481706,4883679
481632,4883682
481578,4883683
481538,4883685
481426,4883692
481278,4883703
481101,4883717
480940,4883729
480821,4883737
480777,4883740
480629,4883742
480213,4883751
480068,4883754
480020,4883755
479882,4883758
479614,4883758
479519,4883758
479404,4883757
479209,4883757
479143,4883757
479074,4883757
479026,4883757
479011,4883758
479005,4883760
479001,4883760
478985,4883763
478964,4883769
478950,4883774
478938,4883779
478916,4883791
478884,4883812
478868,4883829
478848,4883854
478841,4883863
478837,4883869
478833,4883876
478828,4883887
478823,4883897
478819,4883908
478815,4883917
478812,4883930
478808,4883945
478806,4883952
478805,4883962
478804,4883988
478804,4884022
478804,4884055
478805,4884180
478806,4884313
478805,4884381
478804,4884392
478803,4884403
478801,4884411
478799,4884420
478799,4884422
478795,4884432
478790,4884446
478785,4884456
478776,4884474
478775,4884476
478764,4884491
478752,4884503
478741,4884515
478731,4884522
478714,4884536
478682,4884551
478670,4884556
478655,4884560
478639,4884563
478627,4884564
478615,4884565
478603,4884565
478552,4884564
478538,4884564
478484,4884564
478410,4884565
478251,4884565
478202,4884565
478142,4884567
478117,4884568
478099,4884571
478090,4884573
478077,4884578
478058,4884585
478041,4884594
478012,4884611
478008,4884614
477947,4884655
477914,4884677
477848,4884721
477820,4884740
477810,4884745
477778,4884767
477747,4884786
477718,4884800
477694,4884810
477680,4884816
477666,4884820
477649,4884825
477639,4884827
477630,4884830
477626,4884830
477604,4884835
477554,4884846
477537,4884850
477463,4884865
477405,4884878
477341,4884892
477283,4884906
477212,4884924
476900,4885006
476531,4885103
476394,4885139
476315,4885160
476227,4885186
476173,4885206
476147,4885219
476118,4885236
476080,4885259
476065,4885268
475989,4885317
475962,4885333
475950,4885338
475936,4885346
475911,4885356
475886,4885365
475861,4885373
475844,4885378
475818,4885383
475794,4885387
475770,4885387
475718,4885389
475695,4885390
475671,4885394
475650,4885397
475628,4885404
475609,4885412
475597,4885416
475587,4885422
475555,4885439
475459,4885493
475440,4885503
475333,4885563
475309,4885575
475289,4885585
475277,4885591
475268,4885595
475242,4885605
475218,4885614
475196,4885621
475179,4885626
475153,4885632
475127,4885638
475105,4885641
475077,4885645
475055,4885647
475037,4885649
475018,4885649
474978,4885650
474730,4885648
474684,4885649
474662,4885647
474643,4885644
474626,4885641
474611,4885635
474596,4885629
474578,4885620
474561,4885611
474545,4885598
474533,4885588
474525,4885579
474515,4885568
474474,4885520
474364,4885392
474246,4885255
474173,4885171
474172,4885168
474077,4885061
474056,4885045
474042,4885037
474026,4885029
474006,4885024
473989,4885020
473987,4885020
473973,4885019
473959,4885019
473946,4885019
473932,4885022
473902,4885026
473902,4885026
473801,4885028
473550,4885029
473261,4885031
473153,4885030
473101,4885032
473073,4885031
473005,4885031
472997,4885031
472911,4885030
472887,4885030
472776,4885031
472766,4885031
472532,4885031
472514,4885031
472481,4885031
472453,4885031
472430,4885033
472422,4885034
472415,4885037
472397,4885043
472385,4885049
472373,4885057
472367,4885061
472353,4885073
472345,4885084
472337,4885094
472330,4885105
472312,4885143
472249,4885274
472221,4885333
472199,4885381
472185,4885411
472169,4885453
472107,4885612
472099,4885635
472090,4885657
472082,4885679
472078,4885695
472076,4885705
472074,4885716
472070,4885735
472069,4885752
472068,4885770
472069,4885791
472070,4885821
472073,4885856
472077,4885902
472084,4885992
472088,4886047
472090,4886072
472094,4886092
472098,4886110
472105,4886134
472123,4886183
472156,4886269
472175,4886320
472182,4886337
472187,4886356
472190,4886372
472193,4886386
472197,4886407
472200,4886435
472201,4886458
472201,4886479
472200,4886505
472195,4886546
472185,4886594
472173,4886628
472169,4886639
472165,4886651
472152,4886678
472136,4886708
472124,4886731
472108,4886753
472098,4886767
472081,4886788
472061,4886811
472042,4886829
472027,4886842
472002,4886861
471962,4886891
471896,4886938
471865,4886961
471781,4887020
471687,4887086
471629,4887127
471586,4887157
471555,4887179
471542,4887185
471528,4887191
471514,4887195
471493,4887200
471476,4887201
471459,4887202
471438,4887199
471422,4887196
471406,4887191
471374,4887179
471357,4887173
471343,4887168
471332,4887167
471322,4887166
471309,4887166
471290,4887170
471281,4887172
471269,4887176
471260,4887180
471250,4887187
471237,4887197
471213,4887219
471166,4887268
471120,4887315
471100,4887333
471084,4887345
471070,4887354
471054,4887363
471037,4887371
471011,4887382
470965,4887397
470915,4887411
470883,4887421
470857,4887429
470832,4887441
470815,4887448
470794,4887461
470770,4887480
470754,4887495
470746,4887503
470736,4887514
470721,4887533
470706,4887553
470665,4887608
470602,4887694
470547,4887767
470528,4887791
470512,4887807
470497,4887819
470480,4887831
470448,4887843
470411,4887853
470383,4887862
470362,4887872
470343,4887884
470335,4887891
470326,4887902
470311,4887923
470304,4887942
470300,4887958
470297,4887984
470298,4888092
470298,4888156
470300,4888293
470300,4888520
470300,4888520
470195,4888471
470143,4888447
470118,4888434
470074,4888415
470042,4888399
470021,4888392
470008,4888386
469995,4888383
469983,4888381
469970,4888379
469960,4888377
469952,4888377
469933,4888379
469913,4888382
469890,4888387
469861,4888395
469838,4888398
469821,4888399
469810,4888399
469795,4888399
469782,4888397
469762,4888391
469747,4888386
469733,4888380
469705,4888365
469571,4888300
469527,4888278
469488,4888262
469465,4888254
469461,4888253
469454,4888251
469436,4888248
469418,4888247
469397,4888245
469355,4888246
469227,4888248
469090,4888249
468796,4888252
468759,4888251
468736,4888249
468711,4888242
468681,4888231
468661,4888219
468648,4888209
468635,4888198
468619,4888184
468589,4888155
468341,4887926
468296,4887883
468255,4887842
468185,4887769
468169,4887752
468120,4887702
468093,4887674
468055,4887634
468022,4887602
467997,4887579
467959,4887546
467879,4887479
467854,4887457
467746,4887365
467583,4887227
467548,4887196
467529,4887182
467515,4887171
467495,4887158
467480,4887150
467465,4887143
467446,4887137
467426,4887130
467405,4887126
467384,4887121
467364,4887119
467338,4887116
467270,4887110
467179,4887102
467122,4887097
467098,4887095
467074,4887094
467061,4887094
467050,4887094
467040,4887095
467029,4887096
467019,4887099
467009,4887102
467000,4887104
466990,4887109
466977,4887114
466959,4887123
466906,4887153
466792,4887213
466746,4887238
466702,4887260
466657,4887285
466620,4887304
466592,4887320
466563,4887335
466533,4887351
466503,4887369
466493,4887375
466481,4887381
466462,4887391
466444,4887400
466420,4887415
466387,4887432
466364,4887444
466335,4887459
466308,4887472
466293,4887481
466280,4887489
466269,4887498
466258,4887506
466249,4887514
466240,4887521
466232,4887529
466214,4887547
466176,4887583
466144,4887614
466110,4887648
466069,4887688
466046,4887709
466021,4887735
465988,4887767
465972,4887783
465958,4887796
465945,4887811
465933,4887824
465923,4887835
465913,4887848
465904,4887860
465895,4887871
465888,4887882
465881,4887893
465874,4887905
465866,4887919
465860,4887935
465850,4887958
465840,4887988
465831,4888029
465822,4888078
465820,4888096
465819,4888113
465818,4888129
465818,4888143
465819,4888157
465821,4888171
465825,4888199
465828,4888228
465834,4888257
465836,4888273
465842,4888310
465850,4888346
465856,4888386
465864,4888425
465871,4888465
465876,4888493
465878,4888511
465879,4888524
465879,4888538
465879,4888547
465879,4888555
465874,4888575
465873,4888586
465873,4888600
465873,4888611
465873,4888620
465874,4888630
465874,4888638
465875,4888647
465877,4888654
465879,4888662
465883,4888669
465887,4888674
465903,4888697
465920,4888725
465933,4888743
465950,4888761
465963,4888777
465981,4888800
465992,4888816
466004,4888832
466011,4888843
466016,4888851
466020,4888860
466023,4888869
466027,4888879
466029,4888889
466032,4888899
466034,4888915
466035,4888931
466035,4888946
466035,4888961
466034,4888972
466032,4888980
466028,4889001
466028,4889009
466029,4889016
466032,4889027
466036,4889042
466038,4889053
466040,4889062
466042,4889073
466044,4889081
466047,4889088
466050,4889095
466054,4889104
466058,4889111
466063,4889117
466067,4889123
466071,4889128
466076,4889133
466092,4889144
466108,4889155
466124,4889166
466135,4889172
466149,4889181
466161,4889189
466170,4889196
466177,4889203
466184,4889210
466189,4889217
466193,4889224
466197,4889233
466201,4889242
466202,4889250
466203,4889259
466202,4889270
466201,4889282
466199,4889297
466195,4889309
466193,4889320
466178,4889363
466162,4889398
466141,4889439
466134,4889453
466127,4889465
466110,4889488
466096,4889508
466070,4889553
466030,4889631
466019,4889650
466013,4889660
466005,4889672
465997,4889682
465989,4889693
465980,4889702
465971,4889710
465960,4889721
465947,4889732
465934,4889744
465914,4889761
465857,4889803
465833,4889822
465810,4889841
465799,4889850
465780,4889865
465752,4889888
465735,4889900
465716,4889912
465675,4889935
465582,4889985
465361,4890109
465323,4890130
465232,4890180
465112,4890247
465032,4890291
464968,4890328
464938,4890346
464919,4890361
464909,4890370
464895,4890383
464883,4890397
464875,4890408
464861,4890429
464849,4890451
464836,4890477
464805,4890540
464798,4890556
464750,4890649
464595,4890964
464523,4891111
464505,4891150
464485,4891197
464469,4891239
464450,4891292
464443,4891311
464425,4891354
464389,4891418
464277,4891605
464196,4891740
464165,4891790
464145,4891822
464091,4891910
464079,4891934
464072,4891946
464063,4891965
464055,4891984
463989,4892184
463967,4892253
463957,4892281
463946,4892315
463936,4892341
463926,4892360
463922,4892366
463916,4892375
463898,4892400
463864,4892446
463853,4892461
463845,4892474
463839,4892488
463834,4892501
463829,4892520
463829,4892528
463827,4892540
463825,4892563
463818,4892623
463810,4892695
463805,4892736
463800,4892760
463795,4892779
463788,4892797
463785,4892806
463779,4892815
463773,4892827
463767,4892835
463757,4892848
463746,4892861
463727,4892879
463706,4892895
463688,4892910
463651,4892939
463608,4892975
463557,4893017
463524,4893044
463505,4893057
463490,4893066
463479,4893073
463461,4893083
463437,4893093
463403,4893108
463378,4893117
463350,4893128
463337,4893135
463321,4893146
463305,4893159
463289,4893172
463269,4893191
463243,4893216
463223,4893233
463219,4893239
463189,4893267
463105,4893346
463041,4893407
462962,4893485
462881,4893571
462756,4893703
462683,4893780
462651,4893811
462635,4893823
462618,4893836
462596,4893846
462572,4893855
462552,4893860
462533,4893864
462520,4893863
462513,4893863
462505,4893862
462485,4893857
462471,4893854
462463,4893852
462451,4893848
462438,4893841
462429,4893835
462422,4893830
462407,4893817
462376,4893790
462367,4893783
462335,4893753
462227,4893650
462130,4893562
462066,4893497
462040,4893469
462014,4893444
462003,4893434
461981,4893407
461942,4893361
461932,4893349
461921,4893334
461916,4893328
461904,4893311
461885,4893288
461880,4893282
461867,4893267
461854,4893252
461841,4893239
461830,4893229
461824,4893225
461814,4893218
461803,4893212
461791,4893205
461781,4893201
461768,4893195
461755,4893191
461738,4893185
461719,4893180
461630,4893156
461595,4893146
461574,4893140
461561,4893134
461542,4893124
461520,4893113
461495,4893101
461473,4893089
461446,4893075
461442,4893071
461419,4893059
461403,4893052
461383,4893042
461368,4893037
461358,4893033
461348,4893031
461339,4893030
461331,4893028
461320,4893027
461312,4893027
461300,4893027
461287,4893029
461257,4893035
461236,4893044
461215,4893054
461193,4893068
461176,4893082
461166,4893091
461157,4893101
461132,4893129
461103,4893161
461088,4893175
461077,4893182
461059,4893195
461052,4893198
461035,4893206
461025,4893209
461014,4893213
460998,4893215
460986,4893216
460968,4893216
460927,4893217
460906,4893216
460876,4893215
460848,4893214
460801,4893213
460761,4893211
460717,4893209
460703,4893206
460683,4893201
460649,4893192
460623,4893180
460568,4893144
460551,4893132
460470,4893076
460457,4893070
460422,4893044
460389,4893024
460346,4892998
460312,4892980
460286,4892969
460274,4892965
460256,4892962
460238,4892958
460215,4892954
460193,4892955
460184,4892955
460172,4892956
460151,4892958
460127,4892962
460108,4892967
460083,4892975
460082,4892976
460035,4892994
460007,4893007
459938,4893036
459905,4893051
459849,4893074
459793,4893098
459763,4893109
459738,4893118
459718,4893124
459695,4893129
459671,4893133
459651,4893136
459631,4893138
459618,4893138
459578,4893140
459492,4893144
459400,4893149
459265,4893156
459123,4893162
459086,4893163
459027,4893166
458991,4893169
458974,4893171
458960,4893173
458943,4893177
458924,4893187
458904,4893197
458884,4893211
458866,4893221
458855,4893227
458846,4893231
458837,4893233
458827,4893235
458816,4893237
458807,4893239
458796,4893240
458769,4893240
458737,4893240
458733,4893240
458716,4893240
458702,4893243
458692,4893244
458680,4893247
458673,4893249
458665,4893253
458652,4893259
458639,4893270
458632,4893275
458624,4893282
458604,4893306
458584,4893330
458576,4893338
458571,4893342
458562,4893350
458551,4893358
458537,4893365
458504,4893375
458488,4893377
458466,4893380
458428,4893382
458404,4893381
458371,4893381
458306,4893386
458230,4893399
458197,4893398
458162,4893393
458113,4893391
458102,4893390
458077,4893388
458050,4893377
458024,4893363
458000,4893350
457973,4893340
457961,4893336
457946,4893332
457931,4893328
457917,4893327
457877,4893328
457749,4893335
457699,4893339
457676,4893341
457655,4893345
457647,4893347
457639,4893350
457626,4893355
457618,4893359
457608,4893365
457604,4893369
457599,4893374
457573,4893402
457530,4893457
457476,4893526
457455,4893553
457440,4893569
457418,4893593
457401,4893607
457383,4893619
457364,4893627
457344,4893633
457326,4893638
457301,4893640
457293,4893641
457273,4893643
457259,4893645
457247,4893647
457237,4893650
457227,4893653
457218,4893656
457212,4893660
457205,4893663
457200,4893666
457194,4893671
457188,4893674
457182,4893680
457177,4893684
457170,4893690
457163,4893696
457155,4893700
457146,4893706
457137,4893709
457127,4893714
457118,4893716
457106,4893718
457097,4893720
457087,4893722
457074,4893723
457061,4893724
457042,4893727
457026,4893731
457004,4893737
456982,4893743
456964,4893749
456938,4893757
456923,4893763
456895,4893772
456863,4893782
456846,4893789
456835,4893792
456811,4893799
456783,4893808
456761,4893814
456722,4893822
456666,4893835
456629,4893845
456615,4893847
456595,4893849
456543,4893852
456476,4893853
456440,4893854
456424,4893851
456416,4893850
456398,4893845
456390,4893842
456386,4893840
456378,4893834
456374,4893828
456365,4893817
456354,4893805
456311,4893761
456301,4893751
456285,4893735
456278,4893728
456272,4893724
456256,4893713
456241,4893704
456216,4893688
456202,4893679
456197,4893673
456190,4893668
456187,4893664
456183,4893659
456180,4893653
456175,4893643
456172,4893634
456168,4893620
456167,4893611
456162,4893574
456160,4893550
456157,4893528
456153,4893506
456140,4893458
456053,4893168
456019,4893053
456009,4893020
456004,4893001
455992,4892967
455983,4892948
455965,4892914
455958,4892903
455947,4892888
455941,4892881
455931,4892870
455923,4892862
455909,4892851
455895,4892840
455885,4892832
455866,4892819
455858,4892814
455846,4892808
455828,4892799
455818,4892794
455806,4892789
455795,4892786
455782,4892783
455771,4892781
455764,4892780
455748,4892777
455723,4892778
455702,4892778
455686,4892780
455672,4892782
455655,4892788
455628,4892797
455610,4892805
455548,4892831
455509,4892848
455450,4892873
455387,4892905
455360,4892918
455331,4892934
455301,4892948
455275,4892958
455254,4892964
455245,4892965
455231,4892968
455207,4892970
455183,4892971
455117,4892974
455097,4892974
455077,4892974
455070,4892973
455059,4892972
455049,4892970
455043,4892967
455038,4892964
455033,4892962
455025,4892958
455020,4892955
455015,4892950
455007,4892942
455003,4892936
454998,4892931
454994,4892924
454990,4892914
454988,4892906
454986,4892899
454985,4892886
454984,4892876
454984,4892865
454980,4892812
454979,4892772
454979,4892730
454978,4892690
454977,4892652
454978,4892612
454978,4892571
454977,4892528
454977,4892486
454976,4892441
454975,4892404
454975,4892367
454974,4892330
454974,4892290
454973,4892250
454972,4892236
454970,4892228
454970,4892221
454966,4892214
454962,4892207
454958,4892203
454956,4892201
454951,4892197
454944,4892192
454937,4892186
454929,4892182
454920,4892177
454911,4892172
454893,4892163
454854,4892143
454817,4892123
454791,4892109
454773,4892100
454763,4892094
454751,4892089
454738,4892082
454726,4892077
454716,4892072
454707,4892069
454698,4892066
454689,4892064
454678,4892062
454654,4892056
454638,4892051
454627,4892049
454617,4892044
454605,4892039
454594,4892032
454583,4892027
454560,4892014
454545,4892005
454531,4891996
454519,4891988
454510,4891983
454501,4891976
454492,4891970
454488,4891964
454484,4891961
454479,4891955
454475,4891950
454471,4891943
454467,4891936
454463,4891930
454460,4891922
454458,4891914
454455,4891907
454453,4891897
454452,4891888
454448,4891870
454446,4891852
454443,4891837
454439,4891821
454438,4891808
454436,4891798
454434,4891788
454433,4891778
454430,4891770
454427,4891758
454424,4891747
454420,4891739
454416,4891732
454410,4891722
454404,4891717
454398,4891713
454391,4891708
454385,4891706
454380,4891704
454375,4891703
454367,4891702
454362,4891702
454356,4891702
454350,4891703
454344,4891705
454339,4891707
454334,4891710
454327,4891714
454320,4891719
454307,4891729
454289,4891744
454267,4891762
454242,4891784
454229,4891795
454224,4891797
454215,4891804
454207,4891807
454201,4891811
454191,4891814
454183,4891817
454175,4891819
454165,4891821
454158,4891822
454149,4891823
454136,4891824
454120,4891824
454100,4891826
454070,4891825
454038,4891824
454020,4891824
454004,4891823
453994,4891822
453984,4891821
453966,4891818
453938,4891809
453910,4891800
453892,4891795
453878,4891792
453865,4891790
453845,4891786
453832,4891784
453818,4891783
453790,4891782
453755,4891781
453717,4891781
453695,4891780
453675,4891780
453660,4891780
453642,4891780
453624,4891781
453578,4891783
453533,4891782
453488,4891784
453458,4891786
453423,4891788
453404,4891790
453385,4891790
453374,4891789
453366,4891788
453360,4891785
453354,4891784
453349,4891782
453344,4891779
453337,4891776
453333,4891771
453328,4891766
453323,4891760
453318,4891752
453315,4891745
453313,4891736
453312,4891725
453315,4891706
453317,4891701
453321,4891695
453327,4891687
453335,4891680
453348,4891670
453358,4891664
453370,4891659
453382,4891655
453401,4891650
453413,4891646
453423,4891642
453436,4891636
453452,4891628
453468,4891618
453477,4891611
453484,4891603
453493,4891592
453499,4891583
453502,4891577
453505,4891570
453509,4891559
453511,4891550
453513,4891540
453515,4891522
453515,4891503
453515,4891456
453513,4891400
453514,4891347
453516,4891322
453520,4891306
453524,4891292
453527,4891283
453532,4891272
453538,4891261
453545,4891248
453563,4891219
453576,4891198
453587,4891180
453595,4891165
453606,4891142
453621,4891107
453627,4891097
453631,4891089
453635,4891083
453643,4891071
453650,4891062
453658,4891055
453665,4891047
453674,4891038
453683,4891029
453687,4891024
453691,4891019
453697,4891011
453699,4891008
453701,4891004
453704,4890997
453708,4890987
453714,4890956
453725,4890903
453727,4890895
453732,4890879
453736,4890867
453746,4890846
453780,4890775
453802,4890734
453810,4890719
453818,4890702
453827,4890686
453836,4890668
453844,4890658
453851,4890648
453862,4890633
453886,4890609
453917,4890582
453979,4890530
454005,4890508
454035,4890483
454114,4890415
454161,4890376
454179,4890359
454192,4890344
454207,4890325
454215,4890313
454220,4890302
454222,4890295
454224,4890285
454224,4890242
454225,4890210
454226,4890191
454228,4890174
454232,4890160
454237,4890150
454249,4890133
454259,4890123
454265,4890116
454270,4890113
454278,4890107
454284,4890104
454295,4890097
454304,4890090
454312,4890084
454319,4890078
454326,4890071
454331,4890065
454334,4890058
454337,4890052
454338,4890047
454339,4890042
454339,4890039
454340,4890035
454339,4890028
454339,4890024
454336,4890016
454334,4890009
454328,4889999
454315,4889986
454307,4889980
454299,4889977
454291,4889975
454279,4889973
454264,4889971
454251,4889969
454241,4889966
454234,4889964
454223,4889959
454215,4889954
454208,4889949
454202,4889943
454196,4889935
454192,4889928
454189,4889922
454187,4889916
454185,4889908
454183,4889897
454181,4889888
454180,4889871
454178,4889827
454177,4889806
454178,4889790
454180,4889779
454183,4889769
454187,4889750
454193,4889735
454201,4889713
454205,4889702
454208,4889691
454209,4889687
454209,4889685
454209,4889678
454209,4889672
454208,4889668
454205,4889663
454201,4889657
454198,4889653
454193,4889650
454188,4889648
454183,4889646
454182,4889646
454177,4889645
454173,4889644
454165,4889644
454158,4889644
454156,4889644
454153,4889643
454145,4889641
454136,4889638
454125,4889633
454114,4889625
454100,4889612
454094,4889603
454084,4889585
454078,4889574
454074,4889569
454069,4889562
454062,4889557
454057,4889553
454053,4889551
454049,4889550
454045,4889549
454040,4889548
454037,4889547
454032,4889547
454028,4889547
454024,4889548
454021,4889548
454017,4889550
454005,4889554
453978,4889564
453958,4889570
453944,4889572
453929,4889574
453917,4889575
453901,4889576
453883,4889576
453870,4889576
453842,4889574
453835,4889574
453830,4889575
453827,4889575
453821,4889576
453818,4889577
453813,4889578
453806,4889582
453777,4889595
453763,4889600
453752,4889601
453742,4889602
453735,4889602
453728,4889601
453723,4889600
453717,4889597
453709,4889592
453699,4889586
453676,4889566
453665,4889557
453652,4889548
453633,4889537
453613,4889524
453605,4889520
453599,4889517
453593,4889513
453587,4889511
453580,4889509
453571,4889508
453557,4889506
453544,4889503
453528,4889499
